Sales Month,Total Medical Marijuana Sales 1,,Total Retail Marijuana Sales 2,,Total Sales,,
,Monthly Sales,Year to Date,Monthly Sales,Year to Date,Monthly Sales,Year to Date,Total to Date
Sep-17,"$35,518,033 ","$318,631,670 ","$100,280,636 ","$813,524,152 ","$135,798,669 ","$1,132,155,822 ","$4,118,474,289 "
Oct-17,"$34,082,247 ","$352,713,917 ","$93,623,919 ","$907,148,071 ","$127,706,166 ","$1,259,861,988 ","$4,246,180,455 "
Nov-17,"$31,878,468 ","$384,592,385 ","$87,689,309 ","$994,837,380 ","$119,567,777 ","$1,379,429,765 ","$4,365,748,232 "
Dec-17,"$31,924,397 ","$416,516,782 ","$96,348,057 ","$1,091,185,437 ","$128,272,454 ","$1,507,702,219 ","$4,494,020,686 "
Jan-18,"$29,263,308 ","$29,263,308 ","$88,729,914 ","$88,729,914 ","$117,993,222 ","$117,993,222 ","$4,612,013,908 "
Feb-18,"$26,640,302 ","$55,903,610 ","$85,869,215 ","$174,599,129 ","$112,509,517 ","$230,502,739 ","$4,724,523,425 "
Mar-18,"$29,238,678 ","$85,142,288 ","$105,945,278 ","$280,544,407 ","$135,183,956 ","$365,686,695 ","$4,859,707,381 "
Apr-18,"$27,019,073 ","$112,161,361 ","$97,290,806 ","$377,835,213 ","$124,309,879 ","$489,996,574 ","$4,984,017,260 "
May-18,"$26,225,775 ","$138,387,136 ","$96,642,441 ","$474,477,654 ","$122,868,216 ","$612,864,790 ","$5,106,885,476 "
Jun-18,"$27,096,966 ","$165,484,102 ","$102,426,064 ","$576,903,718 ","$129,523,030 ","$742,387,820 ","$5,236,408,506 "
Jul-18,"$27,239,015 ","$192,723,116 ","$111,296,569 ","$688,200,287 ","$138,535,584 ","$880,923,403 ","$5,374,944,089 "
Aug-18,"$28,323,863 ","$221,046,979 ","$112,998,245 ","$801,198,532 ","$141,322,108 ","$1,022,245,511 ","$5,516,266,197 "
Sep-18,"$27,897,573 ","$248,944,551 ","$107,638,880 ","$908,837,412 ","$135,536,453 ","$1,157,781,963 ","$5,651,802,649 "
Oct-18,"$27,919,377 ","$276,863,929 ","$101,305,394 ","$1,010,142,806 ","$129,224,771 ","$1,287,006,735 ","$5,781,027,421 "
Nov-18,"$26,062,807 ","$302,926,736 ","$97,877,084 ","$1,108,019,890 ","$123,939,891 ","$1,410,946,626 ","$5,904,967,312 "
Dec-18,"$29,246,755 ","$332,173,491 ","$105,497,699 ","$1,213,517,589 ","$134,744,454 ","$1,545,691,080 ","$6,039,711,766 "
Jan-19,"$25,680,596 ","$25,680,596 ","$99,193,678 ","$99,193,678 ","$124,874,274 ","$124,874,274 ","$6,164,586,040 "
Feb-19,"$24,082,927 ","$49,763,523 ","$95,324,933 ","$194,518,611 ","$119,407,860 ","$244,282,134 ","$6,283,993,900 "
Mar-19,"$28,097,865 ","$77,861,388 ","$114,317,739 ","$308,836,350 ","$142,415,604 ","$386,697,738 ","$6,426,409,503 "
Apr-19,"$27,943,394 ","$105,804,782 ","$107,938,775 ","$416,775,125 ","$135,882,169 ","$522,579,907 ","$6,562,291,672 "
May-19,"$29,446,360 ","$135,251,142 ","$113,660,919 ","$530,436,044 ","$143,107,279 ","$665,687,186 ","$6,705,398,952 "
Jun-19,"$29,653,362 ","$164,904,504 ","$122,372,729 ","$652,808,773 ","$152,026,091 ","$817,713,277 ","$6,857,425,043 "
Jul-19,"$30,389,970 ","$195,294,474 ","$135,904,745 ","$788,713,518 ","$166,294,715 ","$984,007,992 ","$7,023,719,758 "
Aug-19,"$31,350,310 ","$226,644,784 ","$141,869,549 ","$930,583,067 ","$173,219,859 ","$1,157,227,851 ","$7,196,939,616 "
Sep-19,"$28,601,353 ","$255,246,136 ","$126,853,814 ","$1,057,436,881 ","$155,455,167 ","$1,312,683,017 ","$7,352,394,783 "
Oct-19,"$29,229,660 ","$284,475,797 ","$121,246,599 ","$1,178,683,480 ","$150,476,259 ","$1,463,159,277 ","$7,502,871,042 "
Nov-19,"$26,697,731 ","$311,173,528 ","$114,381,244 ","$1,293,064,724 ","$141,078,975 ","$1,604,238,252 ","$7,643,950,018 "
Dec-19,"$27,314,662 ","$338,488,190 ","$116,437,714 ","$1,409,502,438 ","$143,752,376 ","$1,747,990,628 ","$7,787,702,393 "
Jan-20,"$27,471,535 ","$27,471,535 ","$111,660,730 ","$111,660,730 ","$139,132,265 ","$139,132,265 ","$7,926,834,659 "
Feb-20,"$26,557,708 ","$54,029,243 ","$112,068,640 ","$223,729,370 ","$138,626,348 ","$277,758,613 ","$8,065,461,006 "
Mar-20,"$32,929,194 ","$86,958,437 ","$128,117,512 ","$351,846,882 ","$161,046,706 ","$438,805,319 ","$8,226,507,713 "
Apr-20,"$36,485,700 ","$123,444,138 ","$112,010,018 ","$463,856,900 ","$148,495,718 ","$587,301,038 ","$8,375,003,431 "
May-20,"$42,989,322 ","$166,433,459 ","$149,186,615 ","$613,043,515 ","$192,175,937 ","$779,476,974 ","$8,567,179,368 "
Jun-20,"$40,770,582 ","$207,204,042 ","$158,102,628 ","$771,146,143 ","$198,873,210 ","$978,350,185 ","$8,766,052,578 "
Jul-20,"$43,268,565 ","$250,472,606 ","$183,106,003 ","$954,252,146 ","$226,374,568 ","$1,204,724,752 ","$8,992,427,145 "
Aug-20,"$42,034,746 ","$292,507,353 ","$176,566,595 ","$1,130,818,741 ","$218,601,341 ","$1,423,326,094 ","$9,211,028,487 "
Sep-20,"$39,941,149 ","$332,448,501 ","$166,547,119 ","$1,297,365,860 ","$206,488,268 ","$1,629,814,361 ","$9,417,516,755 "
Oct-20,"$38,788,945 ","$371,237,446 ","$160,999,919 ","$1,458,365,779 ","$199,788,864 ","$1,829,603,225 ","$9,617,305,618 "
Nov-20,"$34,650,013 ","$405,887,459 ","$140,495,233 ","$1,598,861,012 ","$175,145,246 ","$2,004,748,471 ","$9,792,450,865 "
Dec-20,"$36,651,909 ","$442,539,368 ","$149,691,299 ","$1,748,552,311 ","$186,343,208 ","$2,191,091,679 ","$9,978,794,073 "
Jan-21,"$35,869,373 ","$35,869,373 ","$151,734,324 ","$151,734,324 ","$187,603,697 ","$187,603,697 ","$10,166,397,770 "
Feb-21,"$32,452,819 ","$68,322,192 ","$134,584,956 ","$286,319,280 ","$167,037,775 ","$354,641,472 ","$10,333,435,545 "
Mar-21,"$40,372,910 ","$108,695,102 ","$166,729,153 ","$453,048,433 ","$207,102,063 ","$561,743,535 ","$10,540,537,607 "
Apr-21,"$39,817,606 ","$148,512,708 ","$166,506,561 ","$619,554,994 ","$206,324,167 ","$768,067,702 ","$10,746,861,775 "
